Name,P,T,TwoPhase_Iter,TwoPhase_Cut,TwoPhase_CPU,TwoPhase_UB,TwoPhase_LB,MP_CPU,SP_Cons_CPU,SP_Solve_CPU, 
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-0.dat,3,3,10,9,1.086,2384,2384,0.79,0.014,0.282
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-1.dat,3,3,11,10,1.541,2636,2636,0.914,0.014,0.613
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-2.dat,3,3,12,11,1.517,2971,2971,1.021,0.014,0.482
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-3.dat,3,3,13,12,1.491,2365,2365,0.918,0.016,0.557
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-100-100-100-4.dat,3,3,17,16,1.882,3637,3637,1.447,0.022,0.413
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-0.dat,3,3,9,8,1.046,1608,1608,0.771,0.015,0.26
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-1.dat,3,3,8,7,1.096,1634,1634,0.628,0.01,0.458
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-2.dat,3,3,10,9,1.301,1918,1918,0.824,0.016,0.461
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-3.dat,3,3,14,13,1.7,1608,1608,1.032,0.018,0.65
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.6-0.5-50-100-100-4.dat,3,3,14,13,1.571,2181,2181,1.152,0.018,0.401
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-0.dat,3,3,10,9,1.076,2384,2384,0.768,0.017,0.291
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-1.dat,3,3,11,10,1.564,2636,2636,0.913,0.017,0.634
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-2.dat,3,3,12,11,1.536,2971,2971,1.016,0.015,0.505
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-3.dat,3,3,13,12,1.487,2365,2365,0.94,0.02,0.527
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-100-100-100-4.dat,3,3,17,16,2.039,3637,3637,1.593,0.021,0.425
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-0.dat,3,3,9,8,1.037,1608,1608,0.761,0.016,0.26
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-1.dat,3,3,8,7,1.097,1634,1634,0.62,0.013,0.464
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-2.dat,3,3,10,9,1.284,1918,1918,0.833,0.013,0.438
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-3.dat,3,3,14,13,1.716,1608,1608,1.077,0.017,0.622
Results\SingleMachineCapVar2_TwoPhase_3_3\Data1-15-15-0.8-0.5-50-100-100-4.dat,3,3,14,13,1.633,2181,2181,1.167,0.02,0.446
